City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
454,Keti Bandar,PK,77.16,clear sky,24.1447,67.4497,Haji laloo memon house
464,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
466,Omboue,GA,78.8,overcast clouds,-1.5746,9.2618,Hotel Olako
488,Isla Mujeres,MX,78.01,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
493,Nisia Floresta,BR,77.0,few clouds,-6.0911,-35.2086,Rancho Crepusculo
494,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
498,Santa Marta,CO,82.0,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
499,Ugoofaaru,MV,82.04,broken clouds,5.6667,73.0,Ungoofaaru Inn
501,Male,MV,86.0,few clouds,4.1748,73.5089,Hotel Octave Maldives
509,Nueva Gorgona,PA,75.99,overcast clouds,8.55,-79.8667,Coronado Luxury Club & Suites
510,Anloga,GH,80.6,few clouds,5.7947,0.8973,Pin Drop Hotel
526,Richards Bay,ZA,77.5,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
527,San Nicolas,PH,84.2,few clouds,18.1725,120.5953,NORTHVIEW Hotel
530,Caravelas,BR,79.09,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
534,Culebra,PR,78.8,clear sky,18.303,-65.301,Palmetto Guesthouse
550,San Rafael Del Sur,NI,75.49,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
551,Inirida,CO,75.27,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
561,Amalapuram,IN,82.4,haze,16.5833,82.0167,swayamprabha service apartments
570,Rangpur,BD,81.19,clear sky,25.75,89.25,Hotel Shah Amanat
572,Anantapur,IN,82.53,clear sky,14.6833,77.6,Hotal
573,Mananjary,MG,83.89,overcast clouds,-21.2167,48.3333,Vahiny Lodge
575,Grand-Lahou,CI,78.75,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
581,Hobyo,SO,79.03,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
588,Grenville,GD,77.0,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
602,Kudahuvadhoo,MV,81.39,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
603,Doha,QA,75.0,clear sky,25.2867,51.5333,Doha Marriott Hotel
610,Puerto Cabello,VE,77.02,overcast clouds,10.4731,-68.0125,Hotel Cumboto
618,El Roble,CO,76.98,overcast clouds,9.1019,-75.1951,Hotel los Robles
619,Prainha,BR,76.46,broken clouds,-1.8,-53.48,Casa Rocha
620,Chokwe,MZ,79.83,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
625,Rock Sound,BS,75.0,clear sky,24.9,-76.2,Rock Sound Club
627,Lekoni,GA,75.49,few clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
629,San Pedro,PH,86.0,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
640,Meulaboh,ID,86.54,scattered clouds,4.1363,96.1285,Kost Pria
643,San-Pedro,CI,76.75,few clouds,4.7485,-6.6363,Hotel Maria
649,Abomey,BJ,76.01,overcast clouds,7.1829,1.9912,Residence Hotel Marie Emmanuella
658,Morondava,MG,84.43,overcast clouds,-20.2833,44.2833,La Case Bambou
659,Coruripe,BR,76.44,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
660,Berbera,SO,76.28,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
662,Nuzvid,IN,82.4,haze,16.7833,80.85,HI-TECH LODGE
674,Utete,TZ,81.68,scattered clouds,-7.986,38.758,River View Lodge
675,Matola,MZ,81.0,broken clouds,-25.9622,32.4589,Guesthouse Yuba
677,Natal,BR,77.0,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
683,Boa Vista,BR,77.0,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
686,Cozumel,MX,77.0,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
